Output,Name,Extension
1,RoadsBufferRaster,tif
2,RoadsBufferRasterIsNull,tif
3,RoadsBufferRestriction,tif
4,WaterBodiesRaster,tif
5,WaterBodiesRasterIsNull,tif
6,WaterBodiesRestriction,tif
7,protectedareasRaster,tif
8,protectedareasRasterIsNull,tif
9,protectedareasRestriction,tif
10,Perennialrivers5mBufferRaster,tif
11,Perennialrivers5mBufferRasterIsNull,tif
12,Perennialrivers5mBufferRestriction,tif
13,FinalRestrictionModel,tif
14,DistanceToWaterBodyReclassify,tif
15,PerennialRiverDensityReclassify,tif
16,DistanceToRiverReclassify,tif
17,rainfallAnnReclassify,tif
18,WaterAvailabilitySubModel,tif
19,RoadDensityReclassify,tif
20,DistanceToRoadReclassify,tif
21,SocioEconomic,tif
22,SOMReclassify,tif
23,claypercentReclassify,tif
24,soilpHReclassify,tif
25,SlopeReclassify,tif
26,SoilSubModel,tif
27,TempratureReclassify,tif
28,FinalSuitabilityModel,tif
29,FinalSuitabilityMapModel,tif
30,FinalSuitabilityMapModelReclassify,tif